Ruler,Alternative Names,Birth,Death,Reign_Begin,Reign_End,"State, Ruled",Capital of State Ruled,"State, Contemporary",Latitude,Longitude,Position,Title,Description,Image,Image Repository,Repository Link
Albertine Agnes of Nassau,Albertine Agnes van Oranje-Nassau,1634,1696,,,"Frisia, Groningen, and Drenthe",,"Friesland, Groningen and Drenthe",53.17884,6.18444,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Albertine_Agnes%2C_Prinzessin_von_Oranien%2C_vermählte_Fürstin_von_Nassau-Diez_als_Göttin_Diana.jpg,Siegerlandmuseum,
Alimah III,Halima III,,,1676,1711,Anjouan sultanate,,Comoro Islands,-11.66405,43.34262,Sultana regnant,Sultana regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/AMH-6418-NA_Map_of_Anjouan.jpg/800px-AMH-6418-NA_Map_of_Anjouan.jpg,Atlas of Mutual Heritage,
Amalia of Solms-Braunfels,Amalia van Solms,1602,1675,"1640
1650","1647
1672",,,Netherlands,52.06531,4.29062,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Anthonis_van_Dyck_069.jpg,Kunsthistorisches Museum,
Amalia von Hatzfeld,,1560,1628,1600,1607,Raseborg,,"Raseborg, Finland",60.05393,23.59689,Governor,Governor,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Portr%C3%A4tt%2C_Amalia_von_Hatzfeldt_-_Skoklosters_slott_-_87716.tif/lossy-page1-220px-Portr%C3%A4tt%2C_Amalia_von_Hatzfeldt_-_Skoklosters_slott_-_87716.tif.jpg,Skokloster Castle,
Amina,Aminatu,1533,1610,1576,1610,Zazzau,,"Zaria, Kaduna, Nigeria",11.12434,7.72395,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Zazzau_emirates_interior_design_08.jpg,,
Ana Afonso de Leão,,1625,1710,1673,1709,Nkondo,,Angola and the Democratic Republic of Congo,-5.87119,14.37801,Queen,Queen,,,,
Ana Francisca de Borja y Doria,,1640,,1668,,Peru,,Peru,-12.04868,-77.03317,Governor,Governor,,,,
Anna Amalie of Baden-Durlach,,1595,1651,1640,1651,Nassau-Saarbrücken,,"Saarland, Germany",49.23769,6.99251,Regent,Countess,,,,
Anna Eleonore of Stolberg-Wernigerode,,1651,1690,1671,1690,Anhalt-Köthen,,"Köthen (Anhalt), Germany",51.75348,11.97648,Regent,Princess,,,,
Anna Isabella Gonzaga,,1655,1703,1701,,Mantua,,"Mantua, Italy",45.16125,10.79596,Regent,Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Ritratto_di_Anna_Isabella_Gonzaga_di_Guastalla.png,,
Anna Maria Arduino,Anna Maria Ardoini Ludovisi,1672,1700,1699,1670,Principality of Piombino,Piombino,Italy,42.92517,10.52661,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Anna_Maria_Arduino.jpg,,
Anne Marie d'Orléans,Anna Maria d'Orléans,1669,1728,,,Savoy,Turin,"Turin, Italy",45.07,7.67183,Regent,"Queen Consort, Duchess Consort",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Regina_Anna_Maria_di_Orl%C3%A9ans_%281669-1728%29.JPG/560px-Regina_Anna_Maria_di_Orl%C3%A9ans_%281669-1728%29.JPG,La Veneria Reale on loan from Castello Raconnigi,http://www.lavenaria.it/it/collezione/anna-maria-dorleans-regina-sardegna
Anne Marie Louise d'Orléans,La Grande Mademoiselle,1627,1693,1627,1693,"Montpensier, Dombes, Auvergne, Joinville",Paris,France,48.8566,2.3522,Duchess,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Anne_Marie_Louise_d%27Orl%C3%A9ans%2C_Duchess_of_Montpensier%2C_La_Grande_Mademoiselle_-_Versailles_MV_3476.jpg/705px-Anne_Marie_Louise_d%27Orl%C3%A9ans%2C_Duchess_of_Montpensier%2C_La_Grande_Mademoiselle_-_Versailles_MV_3476.jpg?20181024230816,,http://collections.chateauversailles.fr/#a14e2cde-41e5-4728-a841-8e7faf6b76ba
Anne of Austria,,1601,1666,1643,1651,France,Paris,France,48.8566,2.3522,Regent,Queen of France,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Anna_of_Austria_by_Rubens_%281622-1625%2C_Norton_Simon_Museum%29.jpg/800px-Anna_of_Austria_by_Rubens_%281622-1625%2C_Norton_Simon_Museum%29.jpg,Norton Simon Museum,https://www.nortonsimon.org/art/detail/F.1965.1.059.P
Aqualtune,,,,,,Palmares,Subupuira quilombo,"Somewhere in Alagoas, Brazil",,,,,"Was Princess in Congo, captured and sold into slavery, escaped to Palmares quilombo",,,
Archduchess Isabella Clara of Austria,,1629,1685,1665,1671,"Mantua, Montferrat",Mantua,"Mantua, Italy",45.15514,10.79063,Regent,Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Ritratto_di_Isabella_Clara_d%E2%80%99Austria.PNG,Wikimedia Commons,"https://commons.wikimedia.org/wiki/Category:Beata_Vergine_delle_Grazie_(Grazie,_Curtatone)"
Archduchess Maria Anna of Austria (born 1610),"Maria Anna von Habsburg; Maria Anna von Bayern, Maria-Anna Kurfürstin von Bayern",1610,1665,1651,1654,Bavaria,Munich,"Bavaria, Germany",48.14052,11.57629,Regent,Electress,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Joachim_von_Sandrart_-_Erzherzogin_Maria_Anna_%281610-1665%29%2C_Kurf%C3%BCrstin_von_Bayern.jpg/648px-Joachim_von_Sandrart_-_Erzherzogin_Maria_Anna_%281610-1665%29%2C_Kurf%C3%BCrstin_von_Bayern.jpg?20170325132958,Kunsthistorisches Museum,https://www.khm.at/objektdb/detail/2382
Archduchess Maria Maddalena of Austria,Maria Magdalena,1589,1631,1621,1628,Tuscany,Florence,"Florence, Italy",43.77605,11.25394,Regent,Grand Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Maria_Magdalena_van_Oostenrijk.jpg/741px-Maria_Magdalena_van_Oostenrijk.jpg?20200702143435,Flint Institute of Arts,https://flintarts.org/search/index?q=Maria+Maddalena
Ashikaga Ujinohime,"Ashikaga no Ujihima, Ashikaga Ujinohime",1574,1620,1583,1620,,Heian-kyō,,,,Koga kubō,Koga kubō,,,,
Awashonks,Awashunckes; Awashunkes; Awasoncks,,,,,Skonnet or Saconet,,"near Little Compton, Rhode Island",41.51761,-71.16744,,,,,,
Barbara of Matamba,Barbara Mukambu Mbandi,,1666,1663,1666,Ndongo and Matamba,,Northern Angola,,,,,,,,
Barbara Sophie of Brandenburg,,1684,1636,1631,1633,Württemberg,Stuttgart,"Baden-Württemberg, Germany",48.77445,9.18435,Regent,"Princess, Duchess",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/1618_Donauer_Portrait_Sophia_Herzogin_von_W%C3%BCrttemberg_anagoria.JPG/800px-1618_Donauer_Portrait_Sophia_Herzogin_von_W%C3%BCrttemberg_anagoria.JPG,Landesmuseum Württemberg,
Belawadi Mallamma,,,,,,,,,,,Queen,Queen,,,,
"Catherine de' Medici, Governor of Siena",Caterina de' Medici,1593,1629,1627,1629,Siena,Siena,"Siena, Italy",43.31911,11.33079,Governor,Governor,,https://upload.wikimedia.org/wikipedia/commons/d/d1/1621_full_portrait_of_Caterina_de%27_Medici_as_Duchess_of_Mantua_by_Justus_Sustermans.jpg,,
Catherine of Brandenburg,,1602,1649,1629,1630,Transylvania,,"Transylvania, Romania",,,Princess Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/0/03/Brandenburgikatalin.jpg?20091231143335,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brandenburgikatalin.jpg
Christina of Holstein-Gottorp,,1573,1625,1605,1611,Sweden,Stockholm,"Stockholm, Sweden",59.3328,18.01475,Regent,Queen Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Kristina%2C_1573-1625%2C_drottning_av_Sverige_prinsessa_av_Holstein-Gottorp_-_Nationalmuseum_-_15095.tif/lossy-page1-452px-Kristina%2C_1573-1625%2C_drottning_av_Sverige_prinsessa_av_Holstein-Gottorp_-_Nationalmuseum_-_15095.tif.jpg?20161008013637,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=15095&viewType=detailView
Christina of Lorraine,Christine de Lorraine,1565,1637,1621,1628,Tuscany,Florence,"Florence, Italy",43.77605,11.25394,Regent of Tuscany,Grand Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Christine_de_Lorraine_1588.jpg/494px-Christine_de_Lorraine_1588.jpg?20110823110513,Uffizi,https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0900126060
"Christina, Queen of Sweden",Kristina,1626,1690,1632,1654,Sweden,Stockholm,"Stockholm, Sweden",59.3328,18.01475,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Swedish_queen_Drottning_Kristina_portrait_by_S%C3%A9bastien_Bourdon_stor.jpg?20091112212547,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=18075&viewType=detailView
Christine Charlotte of Württemberg,,1645,1699,1665,1690,East Frisia,,"East Frisia, Ostfriesland, Germany",53.47652,7.52989,Princess Regent,Princess consort,,,,
Christine of France,,1606,1663,1637,1648,Savoy,Turin,"Turin, Italy",45.07,7.67183,Regent,Duchess,,https://www.lavenaria.it/sites/default/files/styles/item_in_canvas/public/1243_2.jpg?itok=cOiqURTB,La Veneria Reale,https://www.lavenaria.it/it/collezione/ritratto-cristina-francia-duchessa-savoia-moglie-vittorio-amedeo-i
Claudia de' Medici,,1604,1648,1632,1646,County of Tyrol,Tyrol,"Tirolo, Italy",46.69408,11.14439,Regent,Archducchess,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Justus_Sustermans_-_Claudia_de%27_Medici%2C_1626%2C_Appartamenti_reali%2C_Pitti.jpg,Pitti Palace,
Cockacoeske,,1640,1686,ca. 1656,1686,Pamunkey Tribe,,"Virginia, USA",37.57427,-77.00283,Werowamsqua,Werowamsqua,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cockacoeske_VWM_Statue.jpg/450px-Cockacoeske_VWM_Statue.jpg?20200220055216,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cockacoeske_VWM_Statue.jpg
