StateContemporary,Latitude,Longitude,Ruler,Alternative Names,Birth,Death,Reign_Begin,Reign_End,StateRuled,CapitalofStateRuled,Position,Title,Description,Image,Image Repository,Repository Link
"Bavaria, Germany",48.14052,11.57629,Archduchess Maria Anna of Austria (born 1610),"Maria Anna von Habsburg; Maria Anna von Bayern, Maria-Anna Kurfürstin von Bayern",1610,1665,1651,1654,Bavaria,Munich,Regent,Electress,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Joachim_von_Sandrart_-_Erzherzogin_Maria_Anna_%281610-1665%29%2C_Kurf%C3%BCrstin_von_Bayern.jpg/648px-Joachim_von_Sandrart_-_Erzherzogin_Maria_Anna_%281610-1665%29%2C_Kurf%C3%BCrstin_von_Bayern.jpg?20170325132958,Kunsthistorisches Museum,https://www.khm.at/objektdb/detail/2382
"Vienna, Austria",48.2082,16.3738,Maria Anna of Spain,,1606,1646,1645,1645,Holy Roman Empire,Vienna,Regent,"Holy Roman Empress, Queen of Hungary and Bohemia",Acted as regent on numerous occasions when husband not present in Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Diego_Vel%C3%A1zquez_-_Maria_Anna_of_Spain_-_Prado.jpg/441px-Diego_Vel%C3%A1zquez_-_Maria_Anna_of_Spain_-_Prado.jpg,Museo del Prado,https://www.museodelprado.es/coleccion/obra-de-arte/doa-maria-de-austria-reina-de-hungria/1e61408f-ef2d-498b-a719-289a1fbd91ff
"Nancy, France",48.69353,6.18305,"Nicole, Duchess of Lorraine",,1608,1657,1624,1625,Lorraine and Bar,Nancy,Duchess Regnant,Duchess Regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Nicole_of_Lorraine%2C_Duchess_of_Lorraine_in_her_own_right_by_an_unknown_artist..jpg/630px-Nicole_of_Lorraine%2C_Duchess_of_Lorraine_in_her_own_right_by_an_unknown_artist..jpg?20150317211810,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Nicole_of_Lorraine,_Duchess_of_Lorraine_in_her_own_right_by_an_unknown_artist..jpg"
"Baden-Württemberg, Germany",48.77445,9.18435,Barbara Sophie of Brandenburg,,1684,1636,1631,1633,Württemberg,Stuttgart,Regent,"Princess, Duchess",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/1618_Donauer_Portrait_Sophia_Herzogin_von_W%C3%BCrttemberg_anagoria.JPG/800px-1618_Donauer_Portrait_Sophia_Herzogin_von_W%C3%BCrttemberg_anagoria.JPG,Landesmuseum Württemberg,
"Stuttgart, Germany",48.78212,9.26864,Magdalena Sibylla of Hesse-Darmstadt,,1652,1712,1677,1693,Württemberg,Stuttgart,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/109Magdalena_Sibylla.jpg/470px-109Magdalena_Sibylla.jpg?20090413093423,museum-digital,https://bawue.museum-digital.de/index.php?t=objekt&oges=243
France,48.8566,2.3522,Anne Marie Louise d'Orléans,La Grande Mademoiselle,1627,1693,1627,1693,"Montpensier, Dombes, Auvergne, Joinville",Paris,Duchess,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Anne_Marie_Louise_d%27Orl%C3%A9ans%2C_Duchess_of_Montpensier%2C_La_Grande_Mademoiselle_-_Versailles_MV_3476.jpg/705px-Anne_Marie_Louise_d%27Orl%C3%A9ans%2C_Duchess_of_Montpensier%2C_La_Grande_Mademoiselle_-_Versailles_MV_3476.jpg?20181024230816,,http://collections.chateauversailles.fr/#a14e2cde-41e5-4728-a841-8e7faf6b76ba
France,48.8566,2.3522,Anne of Austria,,1601,1666,1643,1651,France,Paris,Regent,Queen of France,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Anna_of_Austria_by_Rubens_%281622-1625%2C_Norton_Simon_Museum%29.jpg/800px-Anna_of_Austria_by_Rubens_%281622-1625%2C_Norton_Simon_Museum%29.jpg,Norton Simon Museum,https://www.nortonsimon.org/art/detail/F.1965.1.059.P
France,48.8566,2.3522,Maria Theresa of Spain,María Teresa de Austria,1638,1683,1672,1672,France,Paris,Regent,Queen ,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Detail_of_Marie_Th%C3%A9r%C3%A8se_d%27Autriche_by_Nocret.jpg/800px-Detail_of_Marie_Th%C3%A9r%C3%A8se_d%27Autriche_by_Nocret.jpg,Palace of Versailles,https://www.pop.culture.gouv.fr/notice/joconde/000PE005360
France,48.8566,2.3522,Marie de' Medici,,1575,1642,1610,1617,France,Paris,Regent,Queen of France,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Frans_Pourbus%2C_the_Younger_-_Marie_de_M%C3%A9dicis_-_1920.1034_-_Art_Institute_of_Chicago.jpg/684px-Frans_Pourbus%2C_the_Younger_-_Marie_de_M%C3%A9dicis_-_1920.1034_-_Art_Institute_of_Chicago.jpg?20181103004644,Art Institute of Chicago,https://www.artic.edu/artworks/78591/marie-de-medicis
"Saarland, Germany",49.23769,6.99251,Anna Amalie of Baden-Durlach,,1595,1651,1640,1651,Nassau-Saarbrücken,,Regent,Countess,,,,
"Ansbach, Germany",49.30202,10.57636,Sophie of Solms-Laubach,,1594,1651,1625,1639,Brandenburg-Ansbach,Ansbach,Regent,Margravine,,https://upload.wikimedia.org/wikipedia/commons/8/87/Sophie_of_Solms-Laubach.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sophie_of_Solms-Laubach.jpg
"Homburg, Germany",49.31987,7.34252,Margaret Elisabeth of Leiningen-Westerburg,,1604,1667,1638,1648,Hesse-Homburg,Homburg,Regent,Countess,,,,
"Heidelberg, Germany",49.40945,8.69479,Countess Louise Juliana of Nassau,,1576,1644,1610,1614,,Heidelberg,Regent,Eletress Palatine,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Luise_Juliana_von_Oranien-NassauJohannHogenberg.jpg/611px-Luise_Juliana_von_Oranien-NassauJohannHogenberg.jpg?20150425094659,Österreichische Nationalbibliothek,https://onb.digital/result/BAG_5294138
"Sedan, France",49.70242,4.94867,Countess Elisabeth of Nassau,Elisabeth Flandrika,1577,1642,"1623
1626
1632","1623
1626
1632",Sedan,Sedan,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Elisabethofnassau.jpg,,
"Cieszyn, Poland",49.74823,18.62943,"Elizabeth Lucretia, Duchess of Cieszyn",Elisabeth Lukretia von Teschen; Elżbieta Lukrecja Cieszyńska; Alžběta Lukrécie Těšínská,1599,1653,1625,1653,Cieszyn,Cieszyn,Duchess,Duchess,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Elisabeth_Lucretia_of_Teschen.jpg?20200224115649,Münzkabinett der Staatlichen Museen zu Berlin,https://ikmk.smb.museum/object?lang=en&id=18239655
"Darmstadt, Germany",49.87404,8.65381,Elisabeth Dorothea of Saxe-Gotha-Altenburg,,1640,1709,1678,1688,Hesse-Darmstadt,Darmstadt,Regent,Landgravine,,https://upload.wikimedia.org/wikipedia/commons/1/14/ElisaDoroSaGoHeDa.JPG?20170108182344,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:ElisaDoroSaGoHeDa.JPG
"Hanau, Germany",50.12584,8.92764,Countess Catharina Belgica of Nassau,,1578,1648,1612,1626,Hanau-Münzenberg,Hanau,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Portrait_of_a_Woman%2C_Jan_Anthonisz._van_Ravesteyn_%281617%29.jpg/800px-Portrait_of_a_Woman%2C_Jan_Anthonisz._van_Ravesteyn_%281617%29.jpg,The Hague,https://www.mauritshuis.nl/en/our-collection/artworks/119-portrait-of-catharina-belgica-1578-1648/
"Diez, Germany",50.37054,8.01689,Sophia Hedwig of Brunswick-Lüneburg,,1592,1642,1632,1642,County of Nassau-Dietz,Diez,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sophia_Hedwig_van_Brunswijk-Wolfenb%C3%BCttel%2C_gravin_van_Nassau-Dietz.jpg/684px-Sophia_Hedwig_van_Brunswijk-Wolfenb%C3%BCttel%2C_gravin_van_Nassau-Dietz.jpg?20160616182045,RKD - Netherlands Institute for Art History,https://rkd.nl/nl/explore/images/13744
"Hachenburg, Germany",50.65825,7.8201,Ernestine of Sayn-Wittgenstein,Ernestine Salentine,1626,1661,1648,1661,Sayn-Wittgenstein-Hachenburg,Hachenburg,Sovereign Countess,Sovereign Countess,,,,
"Hachenburg, Germany",50.6591,7.82411,Louise Juliane of Erbach,,1603,1670,1632,1652,Sayn-Wittegenstein-Sayn,Hachenburg,Regent,Countess,,,,
"Saynstraße, Altenkirchen, Germany",50.68705,7.64723,Johannetta of Sayn-Wittgenstein (1632–1701),,1632,1701,1648,1701,Sayn-Wittgenstein-Sayn-Altenkirchen,Sayn-Altenkirchen,Sovereign Countess,"Sovereign Countess, Landgrave, Duchess Consort",,,,
"Rudolstadt, Germany",50.71693,11.33243,Emilie of Oldenburg-Delmenhorst,,1614,1670,1646,1662,Schwarzburg-Rudolstadt,Rudolstadt,Regent,Princess Consort,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Emilie_Antonia_von_Oldenburg-Delmenhorst_%281614-1670%29.jpg?20181104182044,,
"Brussels, Belgium",50.8481,4.35347,Isabella Clara Eugenia,Isabel Clara Eugenia; Clara Isabella Eugenia,1566,1633,"1598
1621","1621
1633",Spanish Netherlands,Brussels,Sovereign,Sovereign,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Frans_Pourbus_II_-_Isabella_Clara_Eugenia.jpg/654px-Frans_Pourbus_II_-_Isabella_Clara_Eugenia.jpg?20130126022204,Isabella Stewart Gardner Museum,https://www.gardnermuseum.org/experience/collection/10951
"Kasssel, Germany",51.3134,9.48357,Princess Hedwig Sophie of Brandenburg,,1623,1683,1663,1677,Hesse-Kassel,Kassel,Regent,Landgravine Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Hedvig_Sofia_de_Brandemburgo.jpg/704px-Hedvig_Sofia_de_Brandemburgo.jpg?20180305172235,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=14773&viewType=detailView
"Kassel, Germany",51.31367,9.48619,Countess Amalie Elisabeth of Hanau-Münzenberg,,1602,1651,1637,1650,Hesse-Kassel,Kassel,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Amalie_Elisabeth_von_Hanau-M%C3%BCnzenberg_%281602%E2%80%931651%29.jpg/800px-Amalie_Elisabeth_von_Hanau-M%C3%BCnzenberg_%281602%E2%80%931651%29.jpg,National Trust Collections,https://www.nationaltrustcollections.org.uk/object/493053
England and Ireland,51.5072,0.1276,Elizabeth I,,1533,1603,1558,1603,England and Ireland,London,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Darnley_stage_3.jpg/615px-Darnley_stage_3.jpg?20080831215816,National Portrait Gallery,https://artuk.org/discover/artworks/queen-elizabeth-i-158377
Great Britain,51.5072,0.1276,Mary II of England,,1662,1694,1689,1694,"England, Scotland, and Ireland",London,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Mary_II_-_Kneller_1690.jpg/552px-Mary_II_-_Kneller_1690.jpg?20120130223218,Royal Collection Trust,https://www.rct.uk/collection/405674/mary-ii-1662-1694
"Köthen (Anhalt), Germany",51.75348,11.97648,Anna Eleonore of Stolberg-Wernigerode,,1651,1690,1671,1690,Anhalt-Köthen,,Regent,Princess,,,,
"Dessau, Germany",51.83106,12.24281,Countess Henriette Catherine of Nassau,,1637,1708,1693,1698,Anhalt-Dessau,Dessau,Regent,Princess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Jugendbildnis_der_Prinzessin_Henriette_Katharina_von_Nassau-Oranien_%28Mytens%29.jpg/528px-Jugendbildnis_der_Prinzessin_Henriette_Katharina_von_Nassau-Oranien_%28Mytens%29.jpg?20170107194249,Schloss Mosigkau,
"Zerbst, Germany",51.96363,12.08211,Sophie Augusta of Holstein-Gottorp,,1630,1680,1667,1674,Anhalt-Zerbst,Zerbst,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/6/64/Sophie_auguste.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/File:Sophie_auguste.jpg
Netherlands,52.06531,4.29062,Amalia of Solms-Braunfels,Amalia van Solms,1602,1675,"1640
1650","1647
1672",,,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Anthonis_van_Dyck_069.jpg,Kunsthistorisches Museum,
Netherlands,52.06919,4.29797,"Mary, Princess Royal and Princess of Orange",Mary Henrietta Stuart,1631,1660,1651,1660,Netherlands,The Hague,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Maria_Stuart_als_weduwe_van_Willem_II_Rijksmuseum_SK-A-142.jpeg/760px-Maria_Stuart_als_weduwe_van_Willem_II_Rijksmuseum_SK-A-142.jpeg?20140729193605,RKD - Netherlands Institute for Art History,https://rkd.nl/en/explore/images/11712
"Brunswich, Germany",52.26501,10.52318,"Elizabeth of Denmark, Duchess of Brunswick-Wolfenbüttel",,1573,1625,1616,1622,Brunswick-Lüneburg,Brunswick,Regent,Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Elizabeth_of_Denmark%2C_Duchess_of_Brunswick-Wolfenb%C3%BCttel.jpg/693px-Elizabeth_of_Denmark%2C_Duchess_of_Brunswick-Wolfenb%C3%BCttel.jpg?20190323010247,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Elizabeth_of_Denmark,_Duchess_of_Brunswick-Wolfenb%C3%BCttel.jpg"
"Friesland, Groningen and Drenthe",53.17884,6.18444,Albertine Agnes of Nassau,Albertine Agnes van Oranje-Nassau,1634,1696,,,"Frisia, Groningen, and Drenthe",,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Albertine_Agnes%2C_Prinzessin_von_Oranien%2C_vermählte_Fürstin_von_Nassau-Diez_als_Göttin_Diana.jpg,Siegerlandmuseum,
"East Frisia, Ostfriesland, Germany",53.47652,7.52989,Christine Charlotte of Württemberg,,1645,1699,1665,1690,East Frisia,,Princess Regent,Princess consort,,,,
"East Frisia, Ostfriesland, Germany",53.47652,7.52989,Juliana of Hesse-Darmstadt,,1606,1659,1648,1651,East Frisia,,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Julianeostf.jpg?20061230142646,Wikimedia Commons,https://en.wikipedia.org/wiki/Juliana_of_Hesse-Darmstadt
"Shwerin, Germany",53.62905,11.41308,Sophia of Holstein-Gottorp,,1569,1634,1603,1608,Duchy of Mecklenburg-Schwerin,Shwerin,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Sophie_von_Schleswig-Holstein-Gottorp.jpg/539px-Sophie_von_Schleswig-Holstein-Gottorp.jpg?20180601202404,Staatliches Museum Schwerin,https://commons.wikimedia.org/wiki/File:Sophie_von_Schleswig-Holstein-Gottorp.jpg
"Kasimov, Russia",54.94446,41.39175,Fatima Soltan,,,1681,1679,1681,Qasim Khanate,Kasimov,Queen,Queen,,,,
"Moscow, Russia",55.7558,37.6173,Maria Skuratova-Belskaya,,1552,1605,1605,1605,Russia,Moscow,Regent,Tsarina,,,,
Russia,55.7558,37.6173,Natalya Naryshkina,,1651,1694,1682,1682,Russia,Moscow,Regent,Tsaritsa consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Portrait_of_Tsaritsa_Natalya_Kirillovna_Naryshkina_-_Google_Cultural_Institute.jpg/698px-Portrait_of_Tsaritsa_Natalya_Kirillovna_Naryshkina_-_Google_Cultural_Institute.jpg,Google Art Project,https://artsandculture.google.com/asset/%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82-%D1%86%D0%B0%D1%80%D0%B8%D1%86%D1%8B-%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%B8-%D0%BA%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B-%D0%BD%D0%B0%D1%80%D1%8B%D1%88%D0%BA%D0%B8%D0%BD%D0%BE%D0%B9/dgFh9ouU07q0Yw
Russia,55.7558,37.6173,Sophia Alekseyevna of Russia,,1657,1704,1682,1689,Russia,Moscow,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sophia_Alekseyevna%2C_by_Ilya_Repin.jpg/657px-Sophia_Alekseyevna%2C_by_Ilya_Repin.jpg,Tretyakov Gallery,http://www.art-catalog.ru/picture.php?id_picture=4253
"Jelgava, Latvia",56.65157,23.7282,Princess Elisabeth Sophie of Brandenburg (1674–1748),,1674,1748,1698,1701,Courland,Mitau,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Elisabeth_Sophie_von_Brandenburg_Gedeon_Romandon_001.JPG/708px-Elisabeth_Sophie_von_Brandenburg_Gedeon_Romandon_001.JPG?20180904192121,Prussian Palaces and Gardens Foundaition Berlin-Brandenburg,https://brandenburg.museum-digital.de/object/7369
"Stockholm, Sweden",59.32735,18.0681,Hedwig Eleonora of Holstein-Gottorp,,1636,1715,"1660
1697
1713","1672
1697
1713",Sweden,Stockholm,Queen Regent,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Hedvig_Eleonora%2C_1636-1715%2C_drottning_av_Sverige%2C_prinsessa_av_Holstein-Gottorp_%28Nicolas_Vallari%29_-_Nationalmuseum_-_40112.tif/lossy-page1-676px-Hedvig_Eleonora%2C_1636-1715%2C_drottning_av_Sverige%2C_prinsessa_av_Holstein-Gottorp_%28Nicolas_Vallari%29_-_Nationalmuseum_-_40112.tif.jpg?20161008081244,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=40112&viewType=detailView
"Stockholm, Sweden",59.3328,18.01475,Christina of Holstein-Gottorp,,1573,1625,1605,1611,Sweden,Stockholm,Regent,Queen Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Kristina%2C_1573-1625%2C_drottning_av_Sverige_prinsessa_av_Holstein-Gottorp_-_Nationalmuseum_-_15095.tif/lossy-page1-452px-Kristina%2C_1573-1625%2C_drottning_av_Sverige_prinsessa_av_Holstein-Gottorp_-_Nationalmuseum_-_15095.tif.jpg?20161008013637,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=15095&viewType=detailView
"Stockholm, Sweden",59.3328,18.01475,"Christina, Queen of Sweden",Kristina,1626,1690,1632,1654,Sweden,Stockholm,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Swedish_queen_Drottning_Kristina_portrait_by_S%C3%A9bastien_Bourdon_stor.jpg?20091112212547,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=18075&viewType=detailView
"Raseborg, Finland",60.05393,23.59689,Amalia von Hatzfeld,,1560,1628,1600,1607,Raseborg,,Governor,Governor,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Portr%C3%A4tt%2C_Amalia_von_Hatzfeldt_-_Skoklosters_slott_-_87716.tif/lossy-page1-220px-Portr%C3%A4tt%2C_Amalia_von_Hatzfeldt_-_Skoklosters_slott_-_87716.tif.jpg,Skokloster Castle,
"Mantua, Italy","
45.15514",10.79063,"Maria Gonzaga, Duchess of Montferrat",Maria of Mantua,1609,1660,"1612
1637","1660
1647","Montferrat
Mantua","Montferrat
Mantua","Duchess
Regent",Duchess,,https://upload.wikimedia.org/wikipedia/commons/7/78/Maria_Gonzaga.jpg,Catalogo generale dei Beni Culturali,https://www.catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0300040017
"Monferrat, France
Mantua, Italy",45.48544,5.599063,"Maria Gonzaga, Duchess of Montferrat",Maria of Mantua,1609,1660,"1612
1637","1660
1647","Montferrat
Mantua","Montferrat
Mantua","Duchess
Regent",Duchess,,https://upload.wikimedia.org/wikipedia/commons/7/78/Maria_Gonzaga.jpg,Catalogo generale dei Beni Culturali,https://www.catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0300040017
